english,santhali_devanagari,source,verified
anticipatory bail,माडाङ जामनात,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
anti-corruption measure,भ्रष्टाचार निरोधक उपाय,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
anti-dumping,प्रति पाटन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
antique,गोटाल जिनिस,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
apartheid,हारता भेनेगेत,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
apathy,1. सुसती 2. लागसिया,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
apex body,चेतान धाप,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
apology,इकाकोय ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appeal,अपील,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appearance,सेटेर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appeasement,आसा एम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appellate tribunal,अपील नाय ओड़ाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appendix,बाड़तियाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appliance,उपयंत्र,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
applicable,लाग़ ू,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
applicant,नेहोरिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
application,नेहोर साकाम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
application form,"1. नेहोर साकाम 2. आरजी साकाम, बाङलागतीयाः",Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
applied,बाङलागतीयाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
apply,1. नेहोर एम 2. आरजी एम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appointee,बाहालाकान होड़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appointing authority,बाहाल एमोगिच ् होड़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appointment,बाहाल,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appointment letter,बाहाल साकाम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
apportionment of wages,बाहालिया कुड़ाय,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appraisal,आँकाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appraiser,आँकाविच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appreciation,सारहाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
apprehension,1. तोल 2. सापहोचो,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
apprentice,चेदोगिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
approach,सेटेर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appropriate,1. सह ु ी 2. खाटी ़ 3. उचित,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appropriate action,सुही कामी ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appropriate head,1. सुही बोहोः 2. सुही सिरा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
appropriation,विनियोजन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
approval,हें सारी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
approximate,ओनकाधारा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
aptitude test,रुझान बिड़ाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
arbitrary,मोनमानी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
arbitrate,1. तालायिच 2. रायबारिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
arbitration,तालायिच ् आनारी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
arbitration tribunal,रायबारिया ओड़ाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
arbitrator,तालमायिच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
architecture,बेनाविच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
archives,1. अभिलेखागार 2. ओलओड़ाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
area,टोठा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
area headquarter,टोठा रे नाङ मुड़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
argument,1. तोरको 2. बोहोस 3. हे टाबादी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
arise,1. राकाप ् 2. बेरेत ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
armed forces,सेंगेलटुटि फ़ाद,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
arrangement,1. बेबस्था 2. सापड़ाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
arrear,बाकीया,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
